,News Outlet,Compound,Positive,Neutral,Negative,Text,Date Created
42,@BBCWorld,-0.5574,0.0,0.854,0.146,"RT @BBCNorthAmerica: US Democratic Senator Chuck Schumer reacts to the news that Donald Trump has fired AG Jeff Sessions: ""It would create…",Wed Nov 07 21:41:43 +0000 2018
43,@BBCWorld,0.2023,0.13,0.87,0.0,MS St Louis: Canada apologises for turning away Jewish refugees in 1939 https://t.co/CC2Ltzp8QQ,Wed Nov 07 21:28:41 +0000 2018
44,@BBCWorld,0.0,0.0,1.0,0.0,Trump Russia - the saga in 200 words https://t.co/RP2eCu0ORT,Wed Nov 07 20:53:01 +0000 2018
45,@BBCWorld,0.7579,0.448,0.552,0.0,Cameroon kidnap: Joy as freed students returned to parents https://t.co/1fv3WwGO5r,Wed Nov 07 20:40:34 +0000 2018
46,@BBCWorld,0.0,0.0,1.0,0.0,Canadian MP Tony Clement out of caucus after sexting revelation https://t.co/YuZcC1Osn4,Wed Nov 07 20:36:13 +0000 2018
47,@BBCWorld,-0.1531,0.208,0.538,0.254,Pakistan blasphemy case: Asia Bibi freed from prison https://t.co/tdetDsgnwm,Wed Nov 07 20:13:47 +0000 2018
48,@BBCWorld,0.0,0.0,1.0,0.0,Mid-term elections 2018: Trump offers bipartisanship with caveat https://t.co/RQMv3psn5G,Wed Nov 07 20:07:03 +0000 2018
49,@BBCWorld,0.0,0.0,1.0,0.0,Beleaguered US law chief Sessions quits https://t.co/YUrTxAEiwd,Wed Nov 07 19:52:44 +0000 2018
50,@BBCWorld,-0.6369,0.0,0.729,0.271,RT @BBCBreaking: US Attorney General Jeff Sessions resigns after months of criticism from President Trump https://t.co/5Wgl7KNtn5,Wed Nov 07 19:50:28 +0000 2018
51,@BBCWorld,-0.4767,0.0,0.661,0.339,Polish independence day march by nationalists banned in Warsaw https://t.co/hyguDtqZWC,Wed Nov 07 19:33:24 +0000 2018
52,@BBCWorld,0.0,0.0,1.0,0.0,In pictures: Migrant caravan rests in Mexico City https://t.co/dWeK1q7JIi,Wed Nov 07 19:28:40 +0000 2018
53,@BBCWorld,0.743,0.283,0.717,0.0,"""We won because from the beginning we focused on healthcare,"" says former House minority leader Nancy Pelosi… https://t.co/PzfrvSXLBD",Wed Nov 07 19:07:47 +0000 2018
54,@BBCWorld,0.0,0.0,1.0,0.0,France row over President Macron's Nazi collaborator remark https://t.co/NBbLY4xuzX,Wed Nov 07 19:04:27 +0000 2018
55,@BBCWorld,0.7269,0.303,0.697,0.0,Democratic representative Nancy Pelosi applauds the wins made by female candidates during the mid-term election… https://t.co/Z0jhJ9iakE,Wed Nov 07 19:00:06 +0000 2018
56,@BBCWorld,0.0,0.0,1.0,0.0,"US President Donald Trump says meeting with North Korea's Kim Jong-un will happen ""sometime early next year""… https://t.co/vWymM1mUOD",Wed Nov 07 18:08:29 +0000 2018
57,@BBCWorld,0.0,0.0,1.0,0.0,Fianna Fáil senator Mark Daly sacked over election launch https://t.co/9BZbGiUB2T,Wed Nov 07 18:03:54 +0000 2018
58,@BBCWorld,-0.8834,0.0,0.368,0.632,Spanish parents jailed over sick child donation fraud https://t.co/qhn7rSIkAy,Wed Nov 07 17:54:19 +0000 2018
59,@BBCWorld,-0.296,0.0,0.885,0.115,"""There was no collusion, there was nothing"" - US President Donald Trump says Mueller Russia investigation should en… https://t.co/ACUl6gy6JZ",Wed Nov 07 17:49:12 +0000 2018
60,@BBCWorld,-0.6908,0.11,0.491,0.399,South Korea apologises for rapes during 1980 Gwangju protest crackdown https://t.co/4ju3yaJzH5,Wed Nov 07 17:49:00 +0000 2018
61,@BBCWorld,-0.2732,0.0,0.884,0.116,"""I'm not concerned about Russian investigation, because it's a hoax"" - US President Donald Trump calls CNN reporter… https://t.co/NookKT2G5d",Wed Nov 07 17:40:19 +0000 2018
62,@BBCWorld,0.34,0.107,0.893,0.0,RT @BBCJamesCook: BREAKING President Trump says he could easily shut down the investigation into his campaign's alleged ties with Moscow —…,Wed Nov 07 17:40:02 +0000 2018
63,@BBCWorld,0.0,0.0,1.0,0.0,"RT @awzurcher: Trump asked why he considers caravan asylum seekers an invasion. “Because it is an invasion,” he says. He goes on to call CN…",Wed Nov 07 17:28:57 +0000 2018
64,@BBCWorld,-0.6486,0.0,0.531,0.469,Why Australia is worried about upsetting Indonesia https://t.co/zKdbmZHT1V,Wed Nov 07 17:27:41 +0000 2018
65,@BBCWorld,0.4019,0.137,0.863,0.0,"Voters ""clearly rebuked the Senate Democrats for their handling of the Kavanaugh hearings"" - US President Donald Tr… https://t.co/eAgNF1DFb3",Wed Nov 07 17:22:42 +0000 2018
66,@BBCWorld,0.0,0.0,1.0,0.0,New Isle of Man abortion law moves a step closer https://t.co/SF3yhZ4ccq,Wed Nov 07 17:21:37 +0000 2018
67,@BBCWorld,-0.34,0.0,0.789,0.211,Tanzania police arrest 10 over 'gay wedding' in Zanzibar https://t.co/PneWczpfvD,Wed Nov 07 17:13:12 +0000 2018
68,@BBCWorld,-0.1779,0.128,0.711,0.161,"""Republican Party defied history"" says US President Donald Trump ""in spite of a very dramatic fundraising disadvant… https://t.co/W2xBzFK5S1",Wed Nov 07 17:05:48 +0000 2018
69,@BBCWorld,-0.25,0.143,0.649,0.208,Grenade-shaped belt buckle triggers bomb alert at Barcelona's main railway station https://t.co/nn44Qc97YO,Wed Nov 07 16:12:59 +0000 2018
70,@BBCWorld,0.0,0.0,1.0,0.0,RT @awzurcher: Donald Trump will hold a rare formal press conference in the White House in half an hour. What would you ask him? https://t.…,Wed Nov 07 16:01:58 +0000 2018
71,@BBCWorld,0.0,0.0,1.0,0.0,"RT @BBCRajiniV: #Florida #recount. 

Bill #Nelson camp saying that  “tally in the race continued closing into the predawn hours today and i…",Wed Nov 07 15:05:28 +0000 2018
72,@BBCWorld,0.0,0.0,1.0,0.0,"RT @BBCRajiniV: More on #Florida Senate recount. 

#Nelson campaign now saying #Republican Rick #Scott “prematurely claimed victory after F…",Wed Nov 07 15:05:05 +0000 2018
73,@BBCWorld,0.0,0.0,1.0,0.0,RT @BBCRajiniV: Breaking news from #Florida. #Democratic Senator Bill #Nelson says the contest for the #Florida seat he’s defending is head…,Wed Nov 07 15:04:50 +0000 2018
74,@BBCWorld,0.0,0.0,1.0,0.0,Mid-term elections: How the rest of the world saw it https://t.co/8DkZQfGHSF,Wed Nov 07 14:47:40 +0000 2018
75,@BBCWorld,0.6597,0.205,0.795,0.0,"RT @awzurcher: If Democrats were hoping for a sweeping national rebuke of Trump and Trumpism, this ain't it. But another thing is clear. Tr…",Wed Nov 07 14:45:20 +0000 2018
76,@BBCWorld,-0.4404,0.0,0.873,0.127,RT @BBCJonSopel: I think this sort of underlines that if  @NancyPelosi becomes Speaker she’s not exactly a new kid on the block #Midterms20…,Wed Nov 07 14:39:59 +0000 2018
77,@BBCWorld,-0.6486,0.14,0.446,0.414,Yemen war: Battle for vital port of Hudaydah intensifies https://t.co/HFwPyNtpLH,Wed Nov 07 14:36:56 +0000 2018
78,@BBCWorld,0.4939,0.262,0.738,0.0,"Greece Church agreement as 10,000 priests taken off payroll https://t.co/Sh3TioHXWv",Wed Nov 07 13:22:38 +0000 2018
79,@BBCWorld,0.3089,0.201,0.799,0.0,Mid-term elections: Trump hails 'Big Victory' despite House losses https://t.co/WO851GoP2N,Wed Nov 07 13:10:50 +0000 2018
80,@BBCWorld,-0.5859,0.0,0.703,0.297,Russian director Kirill Serebrennikov goes on trial for fraud https://t.co/SfZ24oIfI4,Wed Nov 07 12:45:06 +0000 2018
81,@BBCWorld,0.0,0.0,1.0,0.0,Madagascar elections: Rivals vie for presidency https://t.co/bGRuZM1EJZ,Wed Nov 07 12:37:40 +0000 2018
82,@BBCWorld,0.0,0.0,1.0,0.0,"Here's how #ElectionNight unfolded in the US

[Tap to expand]

Latest: https://t.co/vGYDEjTvPt https://t.co/qLr1yaWufa",Wed Nov 07 12:14:28 +0000 2018
83,@BBCWorld,0.2263,0.267,0.553,0.18,RT @bbcworldservice: Four surprising innovations that owe their success to World War One. #Armistice100 https://t.co/sRixNeoPJS,Wed Nov 07 12:12:02 +0000 2018
84,@BBCWorld,0.0,0.0,1.0,0.0,Peru baby trafficking ring: Ex-police chief held https://t.co/Kwp20H4fqO,Wed Nov 07 11:52:44 +0000 2018
85,@BBCWorld,-0.4215,0.0,0.714,0.286,Mid-terms 2018: How these elections broke records https://t.co/kFpqyDLks7,Wed Nov 07 10:32:32 +0000 2018
86,@BBCWorld,0.0,0.0,1.0,0.0,"RT @BBCr4today: Stormy Daniels' lawyer, @MichaelAvenatti, says the only way to beat Donald Trump is to ""get down in the gutter and do battl…",Wed Nov 07 10:03:36 +0000 2018
87,@BBCWorld,0.7269,0.289,0.711,0.0,"US mid-terms:

•  Democrats win control of House of Representatives
•  Republicans set to strengthen grip on Senate… https://t.co/4dsyKnkdMH",Wed Nov 07 09:45:49 +0000 2018
88,@BBCWorld,0.0,0.0,1.0,0.0,Europe launches front-line weather satellite into orbit that has components that are over a decade old https://t.co/W5haGchjxd,Wed Nov 07 09:32:20 +0000 2018
89,@BBCWorld,0.5267,0.185,0.815,0.0,RT @BBCNewsGraphics: The Democrats are set to gain the House - the story so far... #Midterms2018 https://t.co/apNbSWTpzD,Wed Nov 07 09:25:19 +0000 2018
90,@BBCWorld,0.0,0.0,1.0,0.0,"⚡️ “US mid-terms: Story of #ElectionNight” 

https://t.co/pHPIXXq0uc",Wed Nov 07 08:50:08 +0000 2018
91,@BBCWorld,0.0,0.0,1.0,0.0,Midterms 2018: Young votes stamp their mark on politics https://t.co/flBfChUtnH,Wed Nov 07 08:39:05 +0000 2018
92,@BBCWorld,0.0772,0.046,0.954,0.0,RT @BBCStreeter: 2018 was billed as the year of the women ahead of the US mid term elections and there is now a record number of women in C…,Wed Nov 07 08:21:51 +0000 2018
93,@BBCWorld,0.3182,0.133,0.867,0.0,"US mid-terms update:

•  Democrats have control of House of Representatives
•  Republicans set to strengthen their… https://t.co/oMCE5ZOCZw",Wed Nov 07 08:13:20 +0000 2018
94,@BBCWorld,0.4019,0.351,0.649,0.0,Cameroon kidnap: Bamenda students freed https://t.co/vZEQNyn1HL,Wed Nov 07 07:50:59 +0000 2018
95,@BBCWorld,0.0,0.0,1.0,0.0,Mid-term election results: What it all means for Trump https://t.co/8tPPFeaa8d,Wed Nov 07 07:16:49 +0000 2018
96,@BBCWorld,0.5859,0.202,0.798,0.0,"US mid-terms update:

•  Democrats win control of House of Representatives
•  Republicans retain control of Senate… https://t.co/cpsf1jTmpF",Wed Nov 07 07:05:44 +0000 2018
97,@BBCWorld,-0.3818,0.0,0.843,0.157,"What does losing the House mean for President Trump? #ElectionNight
[Tap to expand] https://t.co/EXhoHH1kKI https://t.co/Q0I439kEcS",Wed Nov 07 06:51:38 +0000 2018
98,@BBCWorld,0.5994,0.224,0.776,0.0,"Democrat Nancy Pelosi says her party's take-back of the House of Representatives will help restore ""checks and bala… https://t.co/Vc29bwRcnk",Wed Nov 07 06:40:45 +0000 2018
99,@BBCWorld,0.0,0.0,1.0,0.0,US mid-terms latest: Five key things we learned https://t.co/L9AZ26i3Oh,Wed Nov 07 06:27:09 +0000 2018
100,@CBSNews,0.2023,0.284,0.474,0.242,"Fewer office holiday parties this year, a sign of #MeToo liability fears https://t.co/bfUY4IKkJs https://t.co/YxXKRk0iaD",Thu Nov 08 20:00:00 +0000 2018
101,@CBSNews,0.0,0.0,1.0,0.0,"ONLY IN AMERICA: For some of the young people in Borderline Bar &amp; Grill last night, this is the second mass shootin… https://t.co/gWZZn6N4RR",Thu Nov 08 19:40:09 +0000 2018
102,@CBSNews,-0.34,0.0,0.806,0.194,"Evacuations ordered as fast-moving ""Camp Fire"" grows in California https://t.co/iiOj4W3E1T https://t.co/BiyQQN2NX0",Thu Nov 08 19:40:01 +0000 2018
103,@CBSNews,-0.1779,0.0,0.841,0.159,Google overhauls sexual misconduct policy after employee walkouts https://t.co/sZvAIX5va6 https://t.co/n6K3uKM34J,Thu Nov 08 19:19:41 +0000 2018
104,@CBSNews,0.0,0.0,1.0,0.0,Man captures record-setting 17-foot python in Florida https://t.co/7qfzTp9fky https://t.co/ozFjD6vEnB,Thu Nov 08 18:59:37 +0000 2018
105,@CBSNews,0.0,0.0,1.0,0.0,"A gunman entered the Borderline Bar &amp; Grill in Thousand Oaks, during a weekly ""College Country Night,"" setting off… https://t.co/uR9Udt0XDk",Thu Nov 08 18:39:42 +0000 2018
106,@CBSNews,0.0,0.0,1.0,0.0,What Acting Attorney General Matt Whitaker has to do with Mueller's probe https://t.co/vhYrARUvjH https://t.co/jUse6lPNpu,Thu Nov 08 18:19:33 +0000 2018
107,@CBSNews,0.0,0.0,1.0,0.0,Flight attendant feeds hungry infant mid-flight after mother runs out of formula https://t.co/bXY2gHf6qc https://t.co/WhWb6kgg5u,Thu Nov 08 17:59:49 +0000 2018
108,@CBSNews,0.0516,0.154,0.705,0.141,Fowl play? Rare Mandarin duck missing from New York's Central Park https://t.co/2cdrbthtJp https://t.co/de2qUgWaur,Thu Nov 08 17:39:52 +0000 2018
109,@CBSNews,0.0,0.0,1.0,0.0,"With Democrats taking control of the House, Rep. Maxine Waters could heighten more scrutiny of banks if chosen to b… https://t.co/dYLZ1sEU1N",Thu Nov 08 17:04:48 +0000 2018
110,@CBSNews,-0.34,0.0,0.897,0.103,"""I was at the Las Vegas Route 91 mass shooting"": Man inside Southern California bar when a gunman opened fire was w… https://t.co/Olk5tVKDrC",Thu Nov 08 16:46:04 +0000 2018
111,@CBSNews,-0.296,0.0,0.879,0.121,"California mass shooting suspect, identified as 28-year-old Ian Long, was a former Marine who recently had contact… https://t.co/bFnMv7oe99",Thu Nov 08 16:40:56 +0000 2018
112,@CBSNews,-0.5106,0.0,0.82,0.18,California community buys out donuts so shop owner can spend time with sick wife https://t.co/JBCxu7ybl7 https://t.co/5dytuKxxMW,Thu Nov 08 16:26:48 +0000 2018
113,@CBSNews,0.0,0.0,1.0,0.0,"Former New Jersey Gov. Chris Christie is being considered to replace Jeff Sessions as attorney general, two sources… https://t.co/iac7fdjEFB",Thu Nov 08 15:52:16 +0000 2018
114,@CBSNews,-0.296,0.0,0.885,0.115,"Sheriff Geoff Dean: I am no longer the sheriff, tomorrow at midnight.

Reporter: You are retiring tomorrow? 

Sheri… https://t.co/271almiyK8",Thu Nov 08 15:28:58 +0000 2018
115,@CBSNews,0.6369,0.167,0.833,0.0,"""He said to her, ‘I gotta go handle a call, I love you. I’ll talk to you later,’"" Sheriff describes final call Sgt.… https://t.co/btBAIHKYTu",Thu Nov 08 15:19:15 +0000 2018
116,@CBSNews,0.0,0.0,1.0,0.0,"""We believe he shot himself. We found him already deceased when the officers made entry,"" Ventura County Sheriff Ge… https://t.co/eOgYDHXoDn",Thu Nov 08 15:15:59 +0000 2018
117,@CBSNews,0.0,0.0,1.0,0.0,RT @CBSThisMorning: JUST IN: Police have identified the Southern California bar shooter as 28-year-old Ian Long. Investigators say he is a…,Thu Nov 08 15:14:11 +0000 2018
118,@CBSNews,0.1531,0.127,0.773,0.1,"California shooting suspect 28-year-old Ian Long was veteran and in the United States Marine Corps, according to au… https://t.co/z4aTO1PH3s",Thu Nov 08 15:14:05 +0000 2018
119,@CBSNews,-0.8151,0.0,0.695,0.305,"""The weapon used in this horrific shooting was a Glock 21 .45-caliber handgun,"" Ventura County Sheriff Geoff Dean s… https://t.co/W2hdQEgwDB",Thu Nov 08 15:08:54 +0000 2018
120,@CBSNews,-0.8151,0.0,0.695,0.305,"""The weapon used in this horrific shooting was a Glock 21 .45-caliber handgun,"" Ventura County Sheriff Geoff Dean s… https://t.co/UNuJe07TIn",Thu Nov 08 15:08:54 +0000 2018
121,@CBSNews,-0.6705,0.0,0.757,0.243,WATCH NOW: Police give update on Southern California #massshooting that killed 12 people https://t.co/tpWYS7pPSt https://t.co/ERZOtQWn1m,Thu Nov 08 15:06:10 +0000 2018
122,@CBSNews,0.0,0.0,1.0,0.0,"Sen. Joe Manchin, a West Virginia Democrat who has often sided with President Trump, said the U.S. is ""on the verge… https://t.co/3vnbOCVc9Z",Thu Nov 08 15:04:49 +0000 2018
123,@CBSNews,-0.3182,0.12,0.712,0.169,Ventura County Sheriff’s Sgt. Ron Helus was killed trying to save people in the California bar mass shooting. He wa… https://t.co/RvPdV9cTUw,Thu Nov 08 14:50:11 +0000 2018
124,@CBSNews,0.7506,0.263,0.677,0.06,"BREAKING: Supreme Court Justice Ruth Bader Ginsburg, 85, breaks three ribs on her left side after falling in her of… https://t.co/3RGBoUhJnH",Thu Nov 08 14:31:16 +0000 2018
125,@CBSNews,0.5106,0.191,0.809,0.0,"""Hit twice"": Group that survived Las Vegas massacre was at California bar shooting https://t.co/VDtVR7Y94O https://t.co/I1JboJqYYP",Thu Nov 08 14:20:37 +0000 2018
126,@CBSNews,-0.6705,0.0,0.852,0.148,"RT @DavidBegnaud: Mass shootings in America: 
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23 
24
25 people killed. In the last…",Thu Nov 08 14:18:41 +0000 2018
127,@CBSNews,0.7906,0.292,0.708,0.0,BREAKING: Supreme Court Justice Ruth Bader Ginsburg has been hospitalized. She fractured three ribs on her left sid… https://t.co/Es35iVlBok,Thu Nov 08 14:17:37 +0000 2018
128,@CBSNews,0.0,0.0,1.0,0.0,"""I threw a barstool through the window"": College student explains how he and others escaped California bar shooting… https://t.co/YoASksBmCP",Thu Nov 08 14:00:49 +0000 2018
129,@CBSNews,0.802,0.265,0.735,0.0,RT @CBSThisMorning: Nicholas Champion was inside the California bar during the mass shooting. He also survived the 2017 mass shooting in La…,Thu Nov 08 13:59:01 +0000 2018
130,@CBSNews,0.0,0.0,1.0,0.0,"RT @CBSThisMorning: ""What raises my concerns is a person that's been so vocal against the investigation... now putting in charge a day afte…",Thu Nov 08 13:42:29 +0000 2018
131,@CBSNews,0.0,0.0,1.0,0.0,Arizona GOP sues to limit mail-in ballots in McSally-Sinema race https://t.co/ncj5aI5SUw https://t.co/GXe8d5xcHZ,Thu Nov 08 13:34:42 +0000 2018
132,@CBSNews,-0.34,0.0,0.854,0.146,"RT @CBSThisMorning: WATCH: @Sen_JoeManchin believes it was a ""big mistake to let Jeff Sessions go."" https://t.co/ha91qMetpR",Thu Nov 08 13:33:50 +0000 2018
133,@CBSNews,-0.3182,0.0,0.839,0.161,White House bans CNN's Jim Acosta after confrontation with President Trump https://t.co/4AHOLGqoN3 https://t.co/beq14dMlDm,Thu Nov 08 13:14:36 +0000 2018
134,@CBSNews,-0.6705,0.0,0.83,0.17,"RT @CBSThisMorning: WHAT WE KNOW ABOUT SOUTHERN CALIFORNIA MASS SHOOTING:

➡️ 12 killed including Sgt. Ron Helus 

➡️ Bar was filled with c…",Thu Nov 08 13:14:05 +0000 2018
135,@CBSNews,0.0,0.0,1.0,0.0,"President Trump tweets that's he been ""fully briefed"" on the Southern California #massshooting… https://t.co/xpafii8qMZ",Thu Nov 08 12:54:33 +0000 2018
136,@CBSNews,0.0516,0.062,0.938,0.0,"Witnesses describe escaping Southern California bar as gunman reloaded: ""I heard shots and that's not a noise you m… https://t.co/TjVOjAIrok",Thu Nov 08 12:39:51 +0000 2018
137,@CBSNews,0.4939,0.138,0.862,0.0,"RT @CBSThisMorning: Matt Wennerstrom helped save people at the bar during the mass shooting in California: 

""This is our family...  I know…",Thu Nov 08 12:38:13 +0000 2018
138,@CBSNews,-0.34,0.0,0.888,0.112,"""He was pointing a handgun over the counter toward the workers that were working there and just started firing. And… https://t.co/p0flZd3Ta5",Thu Nov 08 12:22:21 +0000 2018
139,@CBSNews,-0.1027,0.124,0.736,0.14,"""He died tonight going in to try to save others and made the ultimate sacrifice,"" Ventura County Sheriff Geoff Dean… https://t.co/Za3DefGPQ5",Thu Nov 08 12:16:09 +0000 2018
